41.145537990000001,-8.6094505550000004;9401008;Porto São Bento
41.14887839,-8.5849758129999998;9402006;Porto Campanhã
41.167452449999999,-8.5763622470000005;9403004;Contumil
41.184701750000002,-8.5570727959999999;9403038;Rio Tinto
41.199436710000001,-8.5562049800000004;9403046;Águas Santas
41.201202469999998,-8.5566203600000001;9403053;Palmilheira
41.217000740000003,-8.5542345389999994;9404002;Ermesinde
41.228377809999998,-8.5517612500000002;9404010;Travagem
41.246560629999998,-8.5572389999999992;9404036;Leandro
41.257775109999997,-8.5581130779999999;9404051;São Frutuoso
41.277259479999998,-8.5548765759999998;9404077;São Romão
41.302194729999997,-8.5494483330000008;9404101;Portela
41.3377037,-8.5477715;9404630;Trofa
41.351253419999999,-8.5261768090000007;9405009;Lousado
41.380859880000003,-8.5230269100000005;9405033;Esmeriz
41.390268519999999,-8.5261680149999997;9405058;Barrimau
41.405397620000002,-8.5293524230000006;9405074;Famalicão
41.428816349999998,-8.5220272060000006;9405108;Mouquim
41.436801600000003,-8.5380019489999999;9405116;Louro
41.455178099999998,-8.5450071330000004;9406007;Nine
41.486215880000003,-8.5636824730000001;9406056;Carreira
41.507827710000001,-8.5816394089999992;9406080;Midões
41.536742349999997,-8.6090097760000006;9406122;Barcelos
41.566039590000003,-8.6277771380000008;9406155;Silva
41.585620179999999,-8.6329056180000006;9406197;Carapeços
41.608863390000003,-8.6348534489999995;9406213;Tamel
41.639023760000001,-8.6667655620000001;9406262;Durrães
41.646288810000001,-8.7011217030000001;9406304;Barroselas
41.64670924,-8.7214208630000005;9406312;Senhora das Neves
41.648486040000002,-8.7399727029999994;9406338;Alvarães
41.680252590000002,-8.7819746849999998;9406387;Darque
41.684113000000004,-8.7990491839999994;9406395;Areia - Darque
42.024671419999997,-8.6393811669999998;9407005;Valença
41.220599479999997,-8.5359462149999992;9408029;Cabêda
41.197243350000001,-8.5025257849999996;9408060;Suzão
41.188069159999998,-8.4872606820000005;9408086;Valongo
41.170077130000003,-8.4681621590000002;9408102;São Martinho do Campo
41.163685280000003,-8.4370782280000007;9408136;Terronhas
41.161232730000002,-8.4186665709999993;9408151;Trancoso
41.15363189,-8.3988301249999999;9408177;Recarei - Sobreira
41.160274960000002,-8.3709609090000008;9408201;Parada
41.172223170000002,-8.3535934990000005;9408227;Cête
41.181904250000002,-8.3418868190000008;9408243;Irivo
41.194022449999999,-8.3373325549999997;9408250;Oleiros
41.204171170000002,-8.3237287870000003;9408276;Paredes
41.217946959999999,-8.2943579829999994;9408318;Penafiel
41.235235520000003,-8.2741573719999995;9408334;Bustelo
41.248985089999998,-8.2577344000000004;9408359;Meinedo
41.251545389999997,-8.2257701030000003;9408383;Caíde
41.25773178,-8.1977228499999999;9408409;Oliveira
41.244828509999998,-8.1841203409999999;9408433;Vila Meã
41.229571350000001,-8.1743377230000007;9408441;Recesinhos
41.215734619999999,-8.1544826229999998;9408474;Livração
41.17976384,-8.1358302219999992;9409001;Marco de Canaveses
41.139165239999997,-8.1190797010000004;9409050;Juncal
41.103259569999999,-8.088757975;9409100;Pala
41.094797399999997,-8.0671693589999993;9409134;Mosteirô
41.106497060000002,-8.0050053370000001;9409191;Aregos
41.117672460000001,-7.9702613329999998;9409225;Mirão
41.124571230000001,-7.9484893960000003;9409258;Ermida
41.120670509999997,-7.9081617;9409282;Porto Rei
41.142650920000001,-7.8873533829999998;9409324;Barqueiros
41.160263710000002,-7.863077251;9409357;Rede
41.151587630000002,-7.8243525009999999;9409399;Caldas de Moledo
41.165783019999999,-7.794644796;9409423;Godim
41.157241509999999,-7.7812349850000002;9410009;Régua
41.14626672,-7.7306092230000001;9410058;Bagaúste
41.153836730000002,-7.6860716040000003;9410090;Covelinhas
41.161190359999999,-7.6080600839999999;9410165;Ferrão
41.189401009999997,-7.5419288;9410249;Pinhão
41.211946269999999,-7.4313215850000001;9410363;São Mamede do Tua
41.206634579999999,-7.4176363670000001;9411007;Tua
41.174724300000001,-7.3745078240000002;9411064;Alegria
41.144732089999998,-7.3370661669999997;9411114;Ferradosa
41.14430771,-7.3101042940000003;9411148;Vargelas
